============================================================
KALMAN FILTER TEST DATA
Optimal scenario: linear, independent Gaussian noise
============================================================
--- NOISE MATRICES ---
R_imu   (IMU measurement noise covariance)
 (3×3):
  [  0.002500,   0.000000,   0.000000]
  [  0.000000,   0.002500,   0.000000]
  [  0.000000,   0.000000,   0.002500]R_depth (Depth measurement noise covariance)
 (1×1):
  [  0.010000]R_gps   (GPS measurement noise covariance)
 (2×2):
  [  2.250000,   0.000000]
  [  0.000000,   2.250000]Q       (Process noise covariance)
 (6×6):
  [  0.000001,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000]
  [  0.000000,   0.000001,   0.000000,   0.000000,   0.000000,   0.000000]
  [  0.000000,   0.000000,   0.000001,   0.000000,   0.000000,   0.000000]
  [  0.000000,   0.000000,   0.000000,   0.000100,   0.000000,   0.000000]
  [  0.000000,   0.000000,   0.000000,   0.000000,   0.000100,   0.000000]
  [  0.000000,   0.000000,   0.000000,   0.000000,   0.000000,   0.000100]--- SENSOR DATA ---
Format: sensor_name: [values]
Ratio:  100 IMU + 100 Depth per 1 GPS
# GPS epoch 1  (t = 0.000 – 1.000 s)
IMU:   [  0.078961,   0.138372,  -0.023474,   0.005426,   0.025366,  -0.004657]
IMU:   [ -0.044801,   0.029385,   0.073403,  -0.002108,   0.030675,  -0.014227]
DEPTH: [ -5.054424]
IMU:   [  0.093814,   0.099324,  -0.052645,   0.008525,   0.017791,   0.002129]
IMU:   [ -0.013256,   0.026072,  -0.035631,  -0.004156,   0.040571,   0.003496]
DEPTH: [ -5.176379]
IMU:   [ -0.039562,   0.084536,   0.017045,   0.010355,   0.025207,  -0.001777]
IMU:   [  0.021081,   0.067739,   0.018673,   0.016130,   0.029640,   0.015746]
DEPTH: [ -5.261873]
IMU:   [  0.021454,   0.173888,  -0.025189,  -0.007185,   0.024980,   0.009274]
IMU:   [ -0.012185,   0.080385,  -0.072330,   0.004011,   0.032608,   0.000191]
DEPTH: [ -5.023459]
IMU:   [  0.099107,   0.108716,   0.013845,   0.000455,   0.010808,  -0.000105]
IMU:   [  0.062538,   0.137580,   0.040641,  -0.007744,   0.044023,  -0.013839]
DEPTH: [ -4.941397]
IMU:   [  0.009424,   0.046865,   0.024890,  -0.007694,   0.045493,  -0.007633]
IMU:   [  0.015826,   0.112970,   0.040424,  -0.010720,   0.016788,   0.005439]
DEPTH: [ -4.970718]
IMU:   [  0.100482,   0.123663,  -0.058110,   0.008365,   0.020245,   0.008111]
IMU:   [ -0.004478,   0.062279,  -0.042898,  -0.006209,   0.029219,   0.003672]
DEPTH: [ -4.972684]
IMU:   [ -0.034468,   0.046416,   0.025824,  -0.000135,   0.037128,   0.005012]
IMU:   [ -0.053299,   0.108614,   0.021089,  -0.006589,   0.031524,   0.000882]
DEPTH: [ -5.114593]
IMU:   [  0.035338,   0.125638,   0.027698,   0.040926,   0.035694,   0.011676]
IMU:   [ -0.014084,   0.104036,   0.117801,  -0.016124,   0.036845,  -0.015787]
DEPTH: [ -5.047638]
IMU:   [  0.021605,   0.102214,  -0.030388,   0.024138,   0.036320,  -0.019891]
IMU:   [  0.054667,   0.039913,  -0.014410,  -0.001901,   0.023445,   0.018035]
DEPTH: [ -4.960006]
IMU:   [  0.075322,   0.064537,   0.024629,   0.010745,   0.020707,  -0.000195]
IMU:   [ -0.009429,   0.106449,   0.074625,  -0.011211,   0.041605,   0.000522]
DEPTH: [ -5.098855]
IMU:   [  0.046276,   0.179204,  -0.059205,   0.024628,   0.010450,  -0.001078]
IMU:   [  0.056246,   0.117745,  -0.031836,   0.012443,   0.033041,   0.008589]
DEPTH: [ -4.937786]
IMU:   [  0.078245,   0.070307,   0.030288,   0.001575,   0.027789,   0.011468]
IMU:   [  0.031166,   0.093368,   0.007907,   0.009698,   0.021780,   0.021424]
DEPTH: [ -5.101377]
IMU:   [ -0.029309,   0.103656,  -0.030677,   0.013647,   0.028489,  -0.007735]
IMU:   [ -0.009199,   0.076303,   0.014907,  -0.010435,   0.015882,  -0.006645]
DEPTH: [ -5.022062]
IMU:   [  0.015818,   0.085411,   0.019565,  -0.004077,   0.035146,   0.015887]
IMU:   [  0.022222,   0.061182,   0.004779,   0.009324,   0.044461,   0.010173]
DEPTH: [ -4.785456]
IMU:   [ -0.012037,  -0.006374,  -0.022610,  -0.003097,   0.031450,   0.004017]
IMU:   [  0.110099,   0.158781,  -0.019657,  -0.012488,   0.043481,  -0.000525]
DEPTH: [ -4.877141]
IMU:   [ -0.034261,   0.092677,   0.009942,   0.009937,   0.037055,  -0.010607]
IMU:   [  0.078678,   0.103159,   0.107089,   0.022495,   0.027445,   0.010376]
DEPTH: [ -4.936251]
IMU:   [ -0.081656,   0.086300,   0.040053,   0.020115,   0.030672,   0.016966]
IMU:   [  0.016442,   0.034533,   0.037784,   0.008906,   0.020528,  -0.004439]
DEPTH: [ -5.106961]
IMU:   [  0.016139,   0.047980,  -0.023257,  -0.006589,   0.049570,   0.001072]
IMU:   [ -0.004443,   0.070937,  -0.009202,  -0.017481,   0.014766,   0.014409]
DEPTH: [ -4.836474]
IMU:   [ -0.025104,   0.019391,   0.014848,  -0.001876,   0.015691,  -0.005706]
IMU:   [ -0.019800,   0.175854,   0.031745,  -0.004536,   0.028005,  -0.007976]
DEPTH: [ -5.139191]
IMU:   [ -0.005765,   0.056483,   0.007351,  -0.002324,   0.032609,   0.000297]
IMU:   [  0.029411,   0.137236,  -0.078420,   0.011568,   0.023273,   0.006526]
DEPTH: [ -5.077310]
IMU:   [ -0.058042,   0.096346,  -0.055376,  -0.000235,   0.030368,  -0.007764]
IMU:   [  0.097701,  -0.023949,  -0.034545,   0.012203,   0.027859,   0.004571]
DEPTH: [ -5.061215]
IMU:   [  0.001831,   0.077988,   0.025147,   0.002371,   0.032782,   0.021634]
IMU:   [ -0.066740,   0.082023,   0.006471,   0.023494,   0.033148,  -0.001291]
DEPTH: [ -4.917965]
IMU:   [  0.006623,   0.131219,   0.119210,   0.008697,   0.032355,  -0.003674]
IMU:   [  0.044658,   0.151439,  -0.019701,   0.004328,   0.020080,  -0.003503]
DEPTH: [ -4.962995]
IMU:   [ -0.010128,   0.037310,  -0.083011,   0.022136,   0.036406,   0.000404]
IMU:   [  0.053198,   0.110718,  -0.033474,   0.012038,   0.048676,   0.014434]
DEPTH: [ -4.841046]
IMU:   [  0.106210,   0.091604,  -0.015169,  -0.002649,   0.013302,   0.009231]
IMU:   [ -0.044839,   0.087197,  -0.007336,  -0.019349,   0.029301,  -0.001290]
DEPTH: [ -4.930780]
IMU:   [  0.031599,   0.098258,   0.016329,   0.006325,   0.024101,  -0.004429]
IMU:   [ -0.101062,   0.154019,   0.068854,  -0.012817,   0.026405,  -0.002655]
DEPTH: [ -5.140864]
IMU:   [ -0.024382,   0.073197,   0.031144,  -0.004157,   0.036955,  -0.001324]
IMU:   [  0.063450,   0.129056,  -0.008677,   0.011474,   0.017308,   0.010340]
DEPTH: [ -5.018505]
IMU:   [ -0.030786,   0.187119,  -0.097172,   0.025325,   0.031922,   0.000152]
IMU:   [  0.015637,   0.096510,   0.022440,  -0.008593,   0.016323,   0.008572]
DEPTH: [ -4.982696]
IMU:   [ -0.014520,   0.119747,  -0.077955,   0.018948,   0.034524,   0.003720]
IMU:   [  0.036283,   0.125194,  -0.028988,   0.010672,   0.022238,  -0.004936]
DEPTH: [ -5.140337]
IMU:   [  0.060225,   0.108530,  -0.035494,   0.015955,   0.024028,   0.002419]
IMU:   [  0.004790,   0.189887,   0.042936,   0.003474,   0.036101,   0.010945]
DEPTH: [ -4.936878]
IMU:   [ -0.030050,   0.118250,   0.038202,   0.014844,   0.040577,   0.009578]
IMU:   [ -0.026543,   0.045163,   0.060455,   0.008998,   0.036577,   0.001542]
DEPTH: [ -4.995853]
IMU:   [  0.048979,   0.075253,   0.070709,   0.000595,   0.027886,  -0.003118]
IMU:   [  0.042563,   0.152439,  -0.017819,   0.023782,   0.052736,  -0.002329]
DEPTH: [ -5.043167]
IMU:   [ -0.006907,   0.048932,  -0.030220,   0.009489,   0.032081,   0.016824]
IMU:   [  0.058721,   0.107436,   0.032917,   0.012874,   0.054284,  -0.005038]
DEPTH: [ -5.051790]
IMU:   [ -0.001442,   0.122658,  -0.019193,   0.016459,   0.031752,  -0.013798]
IMU:   [  0.073677,   0.199570,  -0.000305,   0.002293,   0.015922,  -0.005930]
DEPTH: [ -5.001867]
IMU:   [  0.014779,   0.074561,   0.060874,   0.017242,   0.048174,   0.007238]
IMU:   [  0.100360,   0.168113,   0.041225,   0.008898,   0.031165,   0.013484]
DEPTH: [ -5.079742]
IMU:   [ -0.025526,   0.136290,   0.041187,   0.032349,   0.026612,   0.003630]
IMU:   [  0.020717,   0.108653,   0.062718,   0.000598,   0.031011,  -0.005543]
DEPTH: [ -4.878345]
IMU:   [  0.137667,   0.026519,  -0.100780,   0.015409,   0.024651,  -0.008734]
IMU:   [  0.039220,   0.191223,  -0.044221,  -0.004100,   0.022744,   0.001043]
DEPTH: [ -4.973326]
IMU:   [  0.061884,   0.121699,   0.037895,   0.015779,   0.036081,   0.014810]
IMU:   [  0.043308,   0.027293,   0.015935,   0.004637,   0.038051,  -0.004988]
DEPTH: [ -5.041822]
IMU:   [  0.067156,   0.050452,   0.007267,   0.011557,   0.018052,   0.016592]
IMU:   [  0.012350,   0.048690,  -0.004280,   0.029716,   0.036035,  -0.004133]
DEPTH: [ -4.939763]
IMU:   [  0.091775,   0.130498,   0.062375,   0.006533,   0.042791,   0.003574]
IMU:   [  0.031563,   0.119916,   0.036162,   0.006294,   0.029364,   0.023041]
DEPTH: [ -4.824167]
IMU:   [ -0.035284,   0.118637,   0.042502,   0.007344,   0.045337,  -0.010619]
IMU:   [  0.046783,   0.090013,   0.054447,   0.018845,   0.013824,   0.016423]
DEPTH: [ -4.858680]
IMU:   [  0.047993,   0.157248,   0.037566,   0.008761,   0.037295,  -0.026807]
IMU:   [  0.026447,   0.115904,   0.008162,   0.017383,   0.030336,  -0.011132]
DEPTH: [ -4.896833]
IMU:   [  0.032931,   0.082463,   0.114467,   0.016577,   0.033858,   0.012021]
IMU:   [  0.053551,   0.135143,   0.006715,   0.013689,   0.009565,   0.010901]
DEPTH: [ -4.961595]
IMU:   [  0.082151,   0.045807,  -0.020317,   0.032188,   0.027630,   0.003932]
IMU:   [  0.062126,   0.150976,   0.066269,   0.025062,   0.035913,  -0.009652]
DEPTH: [ -4.832816]
IMU:   [  0.073724,   0.179094,   0.033790,   0.010895,   0.039156,   0.013692]
IMU:   [  0.059464,   0.089719,   0.012013,   0.002518,   0.015104,   0.017763]
DEPTH: [ -5.080623]
IMU:   [  0.019333,   0.210959,   0.060443,   0.010377,   0.004500,   0.024747]
IMU:   [  0.084033,   0.140972,   0.049421,   0.016582,   0.030525,   0.001231]
DEPTH: [ -5.070946]
IMU:   [  0.124449,   0.144181,  -0.066930,   0.004018,   0.038879,  -0.007948]
IMU:   [  0.071391,   0.018578,   0.033738,   0.013861,   0.034985,   0.004136]
DEPTH: [ -4.858941]
IMU:   [  0.020855,   0.065046,  -0.058296,   0.031698,   0.017010,  -0.005012]
IMU:   [  0.014738,   0.205411,  -0.047427,   0.017444,   0.035775,   0.006075]
DEPTH: [ -5.013630]
IMU:   [ -0.011435,   0.093702,   0.141058,   0.006452,   0.045817,   0.018734]
IMU:   [  0.006867,   0.065614,  -0.049006,   0.014973,   0.021714,   0.004315]
DEPTH: [ -5.150585]
IMU:   [  0.141781,   0.118990,  -0.022941,   0.014218,   0.034985,   0.002757]
IMU:   [  0.021923,   0.159805,   0.066994,   0.021011,   0.018467,  -0.001148]
DEPTH: [ -4.873661]
IMU:   [  0.051623,   0.133366,   0.060381,   0.007202,   0.016066,  -0.016326]
IMU:   [  0.101716,   0.102012,   0.007719,   0.024396,   0.026463,   0.004730]
DEPTH: [ -4.962561]
IMU:   [  0.061745,   0.097425,   0.067076,   0.020095,   0.029103,   0.010254]
IMU:   [  0.030403,   0.088492,   0.015731,   0.020788,   0.028636,   0.006961]
DEPTH: [ -4.988212]
IMU:   [  0.122359,   0.087127,   0.087552,   0.017120,   0.025958,  -0.004018]
IMU:   [  0.121495,   0.145236,  -0.061112,  -0.009763,   0.038659,  -0.011533]
DEPTH: [ -5.016747]
IMU:   [  0.035190,   0.117307,  -0.060696,   0.017752,   0.029150,   0.007949]
IMU:   [  0.040878,   0.053434,   0.004718,   0.033177,   0.015571,  -0.013960]
DEPTH: [ -4.847300]
IMU:   [  0.039184,   0.205498,  -0.016804,   0.023623,   0.032270,   0.015213]
